Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
CO2 emissions (kt),EN.ATM.CO2E.KT,Bahrain,BHR,575.719,1771.161,1591.478,1195.442,1598.812,1228.445,649.059,1004.758,1103.767,1272.449,2592.569,3039.943,3681.668,5522.502,5405.158,5753.523,6574.931,7469.679,7766.706,8133.406,7887.717,8525.775,9838.561,8228.748,9207.837,10194.26,11012.001,11430.039,12163.439,11738.067,12427.463,11877.413,10901.991,14642.331,14789.011,14818.347,15621.42,17319.241,18404.673,18019.638,18643.028,13927.266,15698.427,16468.497,17509.925,19207.746,18830.045,26846.107,29768.706,28217.565,29266.327,28650.271,26673.758,31312.513,31338.182,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,3509.319,4554.414,4660.757,4869.776,5570.173,5812.195,6017.547,6648.271,7638.361,7931.721,8599.115,8236.082,9123.496,10234.597,11463.042,11862.745,13545.898,13454.223,15533.412,15940.449,17748.28,17407.249,18969.391,22816.074,24029.851,25063.945,24048.186,25236.294,27869.2,32456.617,33707.064,35672.576,37704.094,39478.922,43541.958,44381.701,49511.834,53736.218,59937.115,63413.431,67505.803,69709.67,73189.653,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Barbados,BRB,172.349,194.351,260.357,190.684,179.683,205.352,267.691,337.364,440.04,480.377,429.039,484.044,502.379,480.377,491.378,568.385,531.715,590.387,630.724,601.388,674.728,685.729,645.392,685.729,748.068,847.077,916.75,942.419,946.086,990.09,1074.431,1206.443,979.089,1114.768,748.068,828.742,850.744,902.082,1140.437,1210.11,1188.108,1221.111,1228.445,1268.782,1294.451,1353.123,1371.458,1364.124,1620.814,1617.147,1477.801,1529.139,1470.467,1448.465,1272.449,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87417.613,76768.645,65056.247,60773.191,60164.469,59555.747,58099.948,56112.434,53787.556,52760.796,52405.097,53530.866,58158.62,59167.045,62071.309,60523.835,63105.403,61220.565,63043.064,64062.49,63222.747,63769.13,63497.772,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belgium,BEL,91000.272,92793.435,98117.919,105781.949,103662.423,105440.918,105206.23,107472.436,118557.777,123618.237,125620.419,121528.047,130834.893,138872.957,135220.625,122100.099,130009.818,126570.172,135855.016,140233.414,135301.299,124021.607,117553.019,101630.905,105422.583,104472.83,102874.018,103116.04,100354.789,107461.435,106049.64,110959.753,111968.178,107652.119,112334.878,112327.544,118059.065,115341.818,118374.427,114260.053,115118.131,114527.744,107311.088,112914.264,111102.766,108510.197,107072.733,103545.079,104443.494,99863.411,110824.074,99944.085,95107.312,96970.148,93350.819,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belize,BLZ,44.004,36.67,69.673,62.339,84.341,84.341,80.674,121.011,102.676,135.679,121.011,143.013,157.681,146.68,154.014,176.016,176.016,198.018,216.353,209.019,190.684,183.35,172.349,172.349,172.349,190.684,205.352,227.354,249.356,300.694,311.695,359.366,355.699,377.701,374.034,377.701,308.028,388.702,370.367,348.365,396.036,447.374,432.706,432.706,392.369,421.705,443.707,476.71,436.373,586.72,539.049,601.388,476.71,513.38,495.045,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Benin,BEN,161.348,128.345,135.679,121.011,143.013,150.347,113.677,143.013,154.014,201.685,282.359,293.36,388.702,381.368,407.037,443.707,260.357,297.027,363.033,366.7,517.047,429.039,491.378,454.708,502.379,744.401,685.729,539.049,553.717,630.724,707.731,821.408,898.415,1133.103,1265.115,1327.454,1265.115,1217.444,1213.777,1562.142,1598.812,1815.165,2079.189,2354.214,2508.228,2394.551,3872.352,4495.742,4411.401,4660.757,5089.796,5295.148,5471.164,5812.195,6318.241,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bermuda,BMU,157.681,176.016,157.681,150.347,201.685,179.683,201.685,212.686,223.687,198.018,227.354,231.021,253.023,425.372,443.707,458.375,469.376,454.708,425.372,462.042,436.373,388.702,396.036,451.041,443.707,451.041,421.705,572.052,645.392,781.071,502.379,539.049,462.042,539.049,531.715,531.715,528.048,524.381,520.714,513.38,517.047,528.048,557.384,561.051,583.053,583.053,652.726,729.733,649.059,476.71,608.722,443.707,476.71,458.375,575.719,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,3.667,3.667,3.667,3.667,3.667,3.667,3.667,7.334,11.001,22.002,22.002,25.669,33.003,29.336,51.338,62.339,55.005,102.676,110.01,62.339,128.345,187.017,216.353,183.35,212.686,249.356,300.694,392.369,381.368,385.035,396.036,385.035,418.038,377.701,308.028,396.036,392.369,392.369,421.705,388.702,487.711,733.4,817.741,920.417,1001.091,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bolivia,BOL,1004.758,1041.428,1100.1,1213.777,1481.468,1510.804,1690.487,1892.172,2178.198,2548.565,2486.226,3061.945,3571.658,3457.981,3516.653,4059.369,4580.083,4481.074,5027.457,4737.764,4668.091,4792.769,4349.062,4290.39,4041.034,4125.375,3777.01,4030.033,4308.725,4994.454,5757.19,6006.546,6655.605,7829.045,8635.785,9849.562,9827.56,10942.328,10989.999,10443.616,11067.006,8621.117,10395.945,11092.675,11114.677,12185.441,15056.702,12332.121,13237.87,13989.605,15203.382,16145.801,18793.375,18918.053,20410.522,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15053.035,12603.479,3230.627,3428.645,4257.387,8393.763,10593.963,10377.61,13787.92,13362.548,14301.3,14488.317,15610.419,16204.473,17564.93,17652.938,20153.832,20703.882,21275.934,23886.838,22258.69,21921.326,22233.021,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,22.002,51.338,88.008,187.017,594.054,781.071,832.409,942.419,986.423,1008.425,1100.1,1030.427,1045.095,1158.772,1067.097,1239.446,1301.785,1430.13,2702.579,2636.573,2779.586,3197.624,3032.609,3047.277,2757.584,2801.588,3344.304,3160.954,3780.677,3850.35,3978.695,3828.348,3898.021,4096.039,4136.376,4231.718,4506.743,3762.342,4686.426,4176.713,4231.718,5229.142,7033.306,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Brazil,BRA,46908.264,49203.806,53695.881,55617.389,56735.824,56398.46,64304.512,66193.017,77421.371,84315.331,93761.523,102635.663,114362.729,132463.041,143456.707,151164.741,155154.437,162961.48,176925.416,188322.452,187090.34,171806.284,172176.651,166632.147,168806.678,181248.809,198883.412,207530.198,209363.698,214024.455,208886.988,219330.604,220705.729,230738.641,242154.012,258347.484,284782.887,300547.32,312289.054,320173.104,327983.814,337433.673,332266.87,321621.569,337826.042,347308.904,347668.27,363212.683,387631.236,367147.374,419754.156,439412.943,470028.726,503677.118,529808.16,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,British Virgin Islands,VGB,..,..,3.667,3.667,7.334,7.334,11.001,3.667,14.668,18.335,18.335,22.002,22.002,25.669,25.669,25.669,25.669,29.336,29.336,29.336,29.336,44.004,36.67,40.337,40.337,47.671,55.005,62.339,66.006,66.006,66.006,66.006,69.673,73.34,80.674,84.341,95.342,99.009,102.676,102.676,102.676,106.343,113.677,121.011,124.678,132.012,143.013,150.347,161.348,165.015,172.349,176.016,176.016,176.016,179.683,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Brunei Darussalam,BRN,333.697,304.361,370.367,355.699,341.031,333.697,491.378,440.04,429.039,487.711,8210.413,7517.35,9460.86,9981.574,8184.744,7080.977,6024.881,6395.248,9541.534,7440.343,6882.959,1470.467,2093.857,2706.246,1917.841,2596.236,2299.209,3318.635,5716.853,6347.577,6193.563,5309.816,5214.474,4968.785,4693.76,4789.102,4869.776,5060.46,5269.479,3909.022,4712.095,4506.743,4378.398,4591.084,4998.121,5005.455,4862.442,8415.765,9119.829,7862.048,8203.079,9695.548,9666.212,7803.376,9108.828,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bulgaria,BGR,22295.36,25973.361,30736.794,34411.128,42863.563,46317.877,48767.433,55166.348,59526.411,66376.367,61238.9,64300.845,66171.015,68825.923,71260.811,73061.308,73116.313,75969.239,81411.067,79152.195,77487.377,80343.97,90131.193,90365.881,87366.275,89540.806,91528.32,91634.663,87289.268,86739.218,74480.437,57549.898,54205.594,67861.502,54161.59,58004.606,56559.808,51616.692,48998.454,43981.998,43530.957,46453.556,44634.724,47307.967,46801.921,47916.689,48991.12,52254.75,50740.279,42665.545,44114.01,49346.819,44708.064,39599.933,42416.189,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Burkina Faso,BFA,44.004,91.675,84.341,88.008,110.01,102.676,102.676,102.676,102.676,121.011,143.013,150.347,161.348,168.682,205.352,220.02,209.019,249.356,348.365,407.037,432.706,557.384,575.719,594.054,465.709,476.71,480.377,517.047,553.717,821.408,583.053,627.057,630.724,627.057,645.392,627.057,707.731,806.74,861.745,931.418,1041.428,997.424,1004.758,1078.098,1103.767,1125.769,1360.457,1646.483,1917.841,1932.509,1961.845,2211.201,2629.239,3058.278,2849.259,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Burundi,BDI,..,..,44.004,47.671,47.671,36.67,47.671,47.671,55.005,73.34,62.339,73.34,73.34,73.34,91.675,77.007,88.008,99.009,102.676,110.01,146.68,157.681,157.681,205.352,220.02,231.021,234.688,249.356,227.354,267.691,209.019,238.355,216.353,227.354,234.688,238.355,242.022,249.356,249.356,253.023,271.358,205.352,212.686,161.348,198.018,154.014,187.017,187.017,190.684,190.684,212.686,242.022,282.359,289.693,440.04,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cabo Verde,CPV,22.002,22.002,18.335,14.668,29.336,25.669,22.002,18.335,29.336,36.67,36.67,36.67,51.338,62.339,66.006,77.007,73.34,80.674,209.019,249.356,121.011,33.003,36.67,36.67,84.341,84.341,58.672,80.674,73.34,80.674,95.342,99.009,106.343,110.01,113.677,121.011,143.013,146.68,157.681,183.35,216.353,234.688,275.025,308.028,330.03,440.04,473.043,506.046,469.376,524.381,557.384,616.056,506.046,498.712,491.378,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cambodia,KHM,234.688,286.026,308.028,388.702,341.031,403.37,469.376,418.038,491.378,1345.789,1173.44,249.356,117.344,128.345,73.34,73.34,73.34,73.34,51.338,29.336,286.026,300.694,337.364,366.7,410.704,418.038,432.706,436.373,451.041,451.041,1261.448,1305.452,1349.456,1386.126,1477.801,1551.141,1617.147,1540.14,1950.844,1895.839,1976.513,2251.538,2207.534,2379.883,2445.889,2775.919,2999.606,3465.315,3898.021,4653.423,5012.789,5207.14,5456.496,5603.176,6684.941,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cameroon,CMR,271.358,282.359,289.693,300.694,337.364,311.695,344.698,458.375,506.046,572.052,638.058,810.407,861.745,898.415,975.422,1162.439,1092.766,1565.809,2002.182,1829.833,3905.355,5342.819,6343.91,6589.599,6057.884,6475.922,1994.848,1844.501,2200.2,7634.694,1734.491,1103.767,3788.011,3898.021,3817.347,4228.051,4462.739,3215.959,3208.625,3080.28,3432.312,3421.311,3417.644,3795.345,3956.693,3696.336,3861.351,5834.197,5544.504,6725.278,6780.283,5768.191,6127.557,6772.949,7003.97,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Canada,CAN,192895.201,194182.318,207185.5,211109.19,237801.283,252153.921,259319.239,281896.958,303539.592,307400.943,341485.708,352607.719,381136.979,381621.023,389970.782,397143.434,399317.965,408151.768,415896.472,442067.851,443233.957,430003.421,414811.04,408687.15,425595.687,422079.034,405053.153,431349.21,456053.789,463274.112,435181.225,426780.128,440978.752,445580.837,456849.528,467637.842,479419.913,495294.356,506533.711,515389.516,534380.909,527926.989,519335.208,553100.944,552198.862,557417.003,543819.767,554355.058,561028.998,536764.459,534670.602,537112.824,517457.704,517160.677,537193.498,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cayman Islands,CYM,11.001,11.001,11.001,11.001,11.001,11.001,18.335,14.668,22.002,44.004,36.67,44.004,55.005,58.672,55.005,55.005,66.006,69.673,91.675,91.675,161.348,154.014,161.348,168.682,183.35,190.684,201.685,216.353,223.687,256.69,249.356,271.358,311.695,330.03,363.033,363.033,385.035,407.037,429.039,429.039,465.709,469.376,487.711,495.045,462.042,473.043,484.044,572.052,583.053,557.384,557.384,586.72,535.382,535.382,542.716,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Central African Republic,CAF,88.008,88.008,73.34,73.34,73.34,88.008,84.341,91.675,183.35,187.017,209.019,183.35,168.682,161.348,113.677,102.676,128.345,128.345,146.68,102.676,106.343,135.679,143.013,146.68,150.347,161.348,161.348,260.357,231.021,249.356,198.018,205.352,216.353,223.687,234.688,234.688,234.688,245.689,249.356,264.024,267.691,245.689,245.689,234.688,234.688,234.688,249.356,253.023,253.023,253.023,264.024,278.692,293.36,297.027,300.694,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Chad,TCD,55.005,51.338,84.341,91.675,99.009,106.343,84.341,117.344,124.678,161.348,124.678,150.347,121.011,161.348,150.347,183.35,183.35,198.018,194.351,201.685,209.019,209.019,205.352,205.352,216.353,179.683,187.017,198.018,66.006,102.676,143.013,66.006,84.341,91.675,102.676,110.01,124.678,143.013,150.347,161.348,176.016,172.349,168.682,381.368,377.701,399.703,407.037,462.042,509.713,491.378,517.047,539.049,612.389,700.397,729.733,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,13490.893,14473.649,16725.187,17355.911,17524.593,17766.615,18793.375,19259.084,21224.596,22555.717,24664.242,27095.463,28191.896,27652.847,25955.026,23014.092,24103.191,23109.434,22948.086,24862.26,25265.63,24554.232,20615.874,20839.561,22200.018,21503.288,22247.689,22673.061,26926.781,32386.944,33314.695,31323.514,32474.952,34627.481,38103.797,41745.128,48499.742,56394.793,57641.573,61502.924,58815.013,53340.182,55162.681,55602.721,59775.767,61818.286,64814.225,71638.512,71851.198,66805.406,72250.901,79243.87,80974.694,83226.232,82562.505,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,China,CHN,780726.302,552066.85,440359.029,436695.696,436923.05,475972.933,522789.522,433234.048,468928.626,577237.138,771617.474,876633.02,931575.681,968542.708,988014.478,1145607.47,1196193.735,1310310.775,1462168.579,1494859.884,1467192.369,1451501.276,1580260.647,1667029.201,1814908.31,1966553.428,2068969.071,2209708.531,2369501.723,2408540.605,2442431.019,2565594.548,2690455.898,2878694.009,3058241.33,3320285.15,3463089.131,3469510.048,3324344.519,3318055.614,3405179.867,3487566.356,3850269.326,4540417.061,5233538.733,5896957.705,6529291.518,7030797.772,7553070.247,8001008.965,8776040.416,9733538.12,10028573.939,10258007.128,10291926.878,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Colombia,COL,16409.825,18217.656,19442.434,21257.599,21708.64,22885.747,23501.803,24715.58,26604.085,28048.883,28404.582,30326.09,31481.195,33699.73,36479.316,35896.263,38089.129,39354.244,41682.789,44433.039,44356.032,44458.708,45914.507,49449.495,48980.119,48378.731,49101.13,50487.256,52445.434,53233.839,57337.212,57120.859,62049.307,64022.153,67571.809,59614.419,60527.502,64909.567,65976.664,56512.137,57923.932,56273.782,55661.393,57421.553,55071.006,60945.54,62940.388,62430.675,68088.856,72661.605,76174.591,76530.29,79951.601,89625.147,84091.644,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Comoros,COM,11.001,11.001,11.001,11.001,11.001,14.668,18.335,18.335,18.335,18.335,29.336,29.336,29.336,29.336,29.336,33.003,40.337,40.337,29.336,22.002,47.671,47.671,47.671,47.671,47.671,47.671,44.004,47.671,51.338,51.338,62.339,66.006,66.006,69.673,69.673,73.34,77.007,80.674,88.008,91.675,102.676,102.676,102.676,132.012,143.013,139.346,161.348,102.676,106.343,132.012,161.348,135.679,143.013,176.016,154.014,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Congo, Dem. Rep.",COD,2321.211,2357.881,2174.531,2295.542,1976.513,2471.558,2405.552,2291.875,3369.973,3652.332,2713.58,2962.936,3021.608,3193.957,3369.973,3237.961,3413.977,3487.317,3538.655,3755.008,3501.985,3777.01,3072.946,4026.366,3964.027,3641.331,3377.307,3854.017,4019.032,4393.066,4070.37,2962.936,2816.256,2592.569,1639.149,2123.193,2317.544,1899.506,1668.485,1382.459,814.074,836.076,927.751,986.423,1199.109,1499.803,1609.813,1756.493,1859.169,1749.159,2020.517,2493.56,2401.885,3589.993,4671.758,..,..,..,..,..
